lsoa_code,lsoa_name_1,lsoa_name_2,middle_layer_super_output_area_msoa_code,middle_layer_super_output_area_msoa_name,local_authority_la_code,local_authority_la_name,rural_urban,rural_urban_classification,built_up_area_bua_code,built_up_area_bua_name,economic_region_economic_action_plan_area_eap_code,number_of_children_0_to_5_2020,number_of_births_2020_to_mothers_24_and_under_years,number_of_births_2020_to_mothers_25_to_34_years,number_of_births_2020_to_mothers_35_and_over_years,total_number_of_births_2020,population_2020_all_ages,birth_rate_per_1000_2020,number_of_births_2019_to_mothers_24_and_under_years,number_of_births_2019_to_mothers_25_to_34_years,number_of_births_2019_to_mothers_35_and_over_years,total_number_of_births_2019,population_2019_all_ages,birth_rate_per_1000_2019,number_of_births_2018_to_mothers_24_and_under_years,number_of_births_2018_to_mothers_25_to_34_years,number_of_births_2018_to_mothers_35_and_over_years,total_number_of_births_2018,population_2018_all_ages,birth_rate_per_1000_2018,number_of_births_2017_to_mothers_24_and_under_years,number_of_births_2017_to_mothers_25_to_34_years,number_of_births_2017_to_mothers_35_and_over_years,total_number_of_births_2017,population_2017_all_ages,birth_rate_per_1000_2017,wimd_decile,wimd_income_deprivation_count_0_to_4,wimd_income_domain_deciles,wimd_income_domain_people_in_income_deprivation_percentage,wimd_employment_domain_deciles,wimd_employment_domain_working_age_people_in_employment_deprivation_percentage,wimd_health_domain_deciles,wimd_health_domain_gp_recorded_chronic_condition_rate_per_100,wimd_health_domain_limiting_long_term_illness_rate_per_100,"wimd_health_domain_premature_death_rate_per_100,000",wimd_health_domain_gp_recorded_mental_health_condition_rate_per_100,"wimd_health_domain_cancer_incidence_rate_per_100,000",wimd_health_domain_low_birth_weight_live_single_births_less_than_2.5kg_percentage,wimd_health_domain_children_aged_4_to_5_who_are_obese_percentage,wimd_education_domain_deciles,wimd_education_domain_foundation_phase_average_point_score,wimd_education_domain_key_stage_2_average_point_score,wimd_education_domain_key_stage_4_average_point_score,wimd_education_domain_repeat_absenteeism_percentage,wimd_education_domain_key_stage_4_leavers_entering_higher_education_percentage,wimd_education_domain_adults_aged_25_to_64_with_no_qualifications_percentage,wimd_access_to_services_domain_deciles,wimd_access_to_services_domain_percentage_unavailability_of_broadband_at_30mb_s,wimd_access_to_services_domain_average_public_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_petrol_station_mins,wimd_housing_domain_deciles,wimd_housing_domain_people_in_overcrowded_households_percentage,wimd_housing_domain_likelihood_of_poor_quality_housing_percentage,wimd_housing_domain_likelihood_of_housing_containing_serious_hazards_percentage,wimd_housing_domain_likelihood_of_housing_being_in_disrepair_percentage,wimd_physical_environment_domain_deciles,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_no2,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates__less_than_10_microm,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_less_than_2_point_5_micro_m,wimd_physical_environment_domain_households_at_risk_of_flooding_score,wimd_physical_environment_domain_proximity_to_accessible_natural_green_space_score_percentage_of_households,wimd_physical_environment_domain_ambient_green_space_score,wimd_community_safety_domain_deciles,wimd_community_safety_domain_police_recorded_criminal_damage_rate_per_100,wimd_community_safety_domain_police_recorded_violent_crime_rate_per_100,wimd_community_safety_domain_anti_social_behaviour_rate_per_100,wimd_community_safety_domain_police_recorded_burglary_rate_per_100,wimd_community_safety_domain_police_recorded_theft_rate_per_100,wimd_community_safety_domain_fire_incidences_rate_per_100,change_birth_rates_18to20,change_birth_rates_17to20,mean_fpp_score,mean_fpp_score_rounded,fpp_mean_difference,fpp_performance
W01000001,Aberffraw & Rhosneigr 1,Isle of Anglesey 007A,W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),Small,Dispersed (not in a BUA),WXX000001,58,1,1,1,3,1027,2.92,0,2,5,7,1042,6.72,2,4,4,10,1067,9.37,2,3,1,6,1067,5.62,5,9.3,5,15,4,12,7,13.4,19,348.6,18.8,531,7.3,,6,105,89,117,4,30.3,15.6,2,13.5,45,39,89,33,52,47,78,99,9,6,9,3,7,9,10,29,19,5,3.18,26.8,24.9,3.2,10,3.1,6.5,4.3,7.2,87.7,0.166,5,1,2.91,2.11,,,0.56,Consistently decreasing,Decreasing (2018-20),103.6368421,104,1.363157895,Other
W01000002,Aberffraw & Rhosneigr 2,Isle of Anglesey 007B,W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),Small,Dispersed (not in a BUA),WXX000001,66,1,9,1,11,1229,8.95,0,7,3,10,1203,8.31,3,13,3,19,1241,15.31,2,7,4,13,1261,10.31,7,17.46,6,13,7,7,7,12.8,19.5,312.3,17.2,595.7,6.1,,9,107,89,128,1.8,52.3,14,4,19.3,34,29,64,32,32,35,71,101,7,3,5,6,4,7,6,25,14,2,5.23,33.1,30.7,4,10,3.4,6.6,4.4,2.1,68,0.223,9,0.36,2.14,1.25,,,,Other,Other,105.3403141,105,1.659685864,Other
W01000003,Amlwch Port,Isle of Anglesey 001A,W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),W37000257,Amlwch BUA,WXX000001,152,8,13,8,29,2582,11.23,4,16,4,24,2568,9.35,14,10,6,30,2611,11.49,15,13,2,30,2597,11.55,3,57.38,3,23,3,15,4,15.3,25.1,460.8,22.3,612.5,6.2,,4,100,86,116,4.6,19.5,21.2,5,1.8,29,24,29,24,32,27,41,44,5,3,5,4,4,4,6,8,4,5,6.58,15.2,13.6,3.4,10,4.3,7.7,5.3,13.5,93.2,0.177,4,1.39,3.1,1.96,0.42,,0.48,Other,Other,102.7225131,103,-2.722513089,Other
W01000004,Amlwch Rural,Isle of Anglesey 001B,W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),W37000257,Amlwch BUA,WXX000001,67,1,3,2,6,1276,4.7,0,4,2,6,1278,4.69,3,6,0,9,1257,7.16,1,3,0,4,1275,3.14,6,16.25,6,12,6,9,7,12.1,21.5,293.3,18.9,712.5,3.1,,5,97,84,120,5.1,40,19.2,2,5.3,50,44,51,53,45,51,79,69,9,6,9,8,7,7,7,8,6,7,3.35,18.2,17.2,2.5,10,3.6,7,4.6,8,69.3,0.208,7,0.7,2.18,1.12,,,,Other,Other,104.5767196,105,-7.576719577,Other
W01000005,Beaumaris,Isle of Anglesey 005A,W02000005,Isle of Anglesey 005,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,98,2,6,0,8,1753,4.56,2,12,1,15,1761,8.52,2,7,2,11,1785,6.16,4,7,5,16,1797,8.9,6,17.82,5,14,7,7,8,11.9,17.7,283.5,23.7,584.5,2.7,,2,100,84,105,8.7,21.4,14,7,19.1,24,24,29,24,28,27,26,77,4,4,6,4,4,5,4,25,5,5,4.96,20,18.5,4.1,8,4.6,7.1,4.7,24.7,86.2,0.208,5,1.18,3,2.76,,,0.25,Other,Other,104.5767196,105,-4.576719577,Other
W01000006,Bodffordd,Isle of Anglesey 006A,W02000006,Isle of Anglesey 006,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,87,4,17,0,21,1606,13.08,2,4,4,10,1597,6.26,4,8,4,16,1592,10.05,4,10,2,16,1585,10.09,6,10.4,7,10,6,9,7,13.6,20.8,344.1,20.3,591.1,4.8,,7,105,88,130,4.2,25.8,17.4,2,15.9,60,52,56,54,37,66,75,50,14,10,10,11,5,17,12,10,14,3,5.02,25.9,24.1,3.7,10,4,7.1,4.6,2.1,40.7,0.308,8,0.45,2.15,0.95,,,0.41,Other,Other,104.5767196,105,0.423280423,Other
W01000007,Bodorgan,Isle of Anglesey 009A,W02000009,Isle of Anglesey 009,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,88,1,8,5,14,1768,7.92,4,7,3,14,1758,7.96,0,5,3,8,1738,4.6,3,8,1,12,1727,6.95,6,13.6,7,11,7,8,8,12.2,19.8,211.8,21.5,590,8.2,,7,105,88,129,3.7,37.7,13.9,2,24,75,51,57,50,40,80,94,77,22,8,8,8,4,23,19,20,16,1,5.7,39.5,37.1,4.7,9,3.5,6.7,4.4,15.8,25.7,0.352,7,0.7,2.04,1.07,,,,Other,Other,104.5767196,105,0.423280423,Other
W01000008,Braint,Isle of Anglesey 008A,W02000008,Isle of Anglesey 008,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Less Sparse),W37000291,Llanfair Pwllgwyngyll BUA,WXX000001,46,1,4,1,6,1484,4.04,0,6,0,6,1479,4.06,1,3,4,8,1493,5.36,2,6,1,9,1490,6.04,10,3.84,9,7,9,4,9,12.4,18.5,219.4,20.2,537.1,2.6,,10,111,94,135,3.7,51.3,10.3,10,3.9,23,20,23,23,25,32,44,35,3,2,3,3,4,12,10,11,4,8,4.04,12.4,11.5,1.9,9,5.8,7.2,4.8,18.3,66.7,0.231,10,,1.15,1.31,,,,Consistently decreasing,Decreasing (2017-20),108.0789474,108,2.921052632,Other
W01000009,Bryngwran,Isle of Anglesey 007C,W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,Rural,Village Hamlet and Isolated Dwellings (Sparse),Small,Dispersed (not in a BUA),WXX000001,135,2,7,3,12,1966,6.1,3,15,4,22,1958,11.24,5,13,4,22,1960,11.22,6,15,4,25,1977,12.65,5,31.75,5,16,5,11,6,14.9,22.3,390.6,21.4,542.1,3.6,,5,103,87,120,3.5,26.3,20.1,2,7.6,56,35,36,38,33,66,69,60,19,5,4,6,3,22,19,14,12,2,4.44,34.5,32.1,4.2,9,4.2,7.2,4.6,17.6,48.4,0.292,8,0.62,1.66,1.2,0.54,,0.25,Other,Other,103.6368421,104,-0.636842105,Other
W01000010,Brynteg,Isle of Anglesey 002A,W02000002,Isle of Anglesey 002,W06000001,Isle of Anglesey,Rural,Small Town and Fringe (Sparse),W37000205,Benllech BUA,WXX000001,87,0,11,2,13,1923,6.76,1,12,2,15,1917,7.82,0,6,2,8,1904,4.2,1,11,7,19,1912,9.94,9,12,8,9,7,7,9,10.4,19.3,259.9,21.8,562,0.9,,7,105,88,126,3.7,40.8,13.9,7,7.2,30,26,31,28,32,33,79,73,6,4,5,5,4,5,25,26,4,8,2.41,19.2,18.2,3,9,4.4,7.1,4.7,2.1,23.1,0.18,9,0.4,1.22,1.15,,,,Other,Other,107.0104712,107,-2.010471204,Other
